"","X","Gene.Name","D0.vs..D45.Log2.Fold.Change","D0.vs..D45.p.value","pval","log2fc","labels","sig"
"1",0,"RBM11",4.785752704,2.11e-18,2.11e-18,4.785752704,"RBM11","Up"
"2",6,"NDST4",4.072664478,2.05e-14,2.05e-14,4.072664478,"NDST4","Up"
"3",7,"TDGF1",-4.589711664,6.05e-14,6.05e-14,-4.589711664,"TDGF1","Down"
"4",8,"HSPA13",3.845534718,1.16e-13,1.16e-13,3.845534718,"HSPA13","Up"
"5",9,"USP25",3.793353286,2.39e-13,2.39e-13,3.793353286,"USP25","Up"
"6",14,"MIR367",-4.032723834,6.42e-13,6.42e-13,-4.032723834,"MIR367","Down"
"7",15,"C1orf116",-3.96808474,6.68e-13,6.68e-13,-3.96808474,"C1orf116","Down"
"8",17,"UGT2B4",3.8563612,1.09e-12,1.09e-12,3.8563612,"UGT2B4","Up"
"9",19,"MIR302D",-3.984281123,1.83e-12,1.83e-12,-3.984281123,"MIR302D","Down"
"10",20,"MIR125B2",3.738595883,1.97e-12,1.97e-12,3.738595883,"MIR125B2","Up"
"11",21,"MIR302CHG",-4.03539892,2.05e-12,2.05e-12,-4.03539892,"MIR302CHG","Down"
"12",22,"ZFP42",-3.809005171,2.16e-12,2.16e-12,-3.809005171,"ZFP42","Down"
"13",24,"MIR3674",-3.995830839,2.64e-12,2.64e-12,-3.995830839,"MIR3674","Down"
"14",25,"C3",-3.918569335,3.49e-12,3.49e-12,-3.918569335,"C3","Down"
"15",26,"ESRG",-4.831488921,4.05e-12,4.05e-12,-4.831488921,"ESRG","Down"
"16",27,"LINC01405",-3.835334278,7.05e-12,7.05e-12,-3.835334278,"LINC01405","Down"
"17",28,"SPIDR",3.463800647,1.31e-11,1.31e-11,3.463800647,"SPIDR","Up"
"18",64,"MIR302B",-3.748287629,1.76e-11,1.76e-11,-3.748287629,"MIR302B","Down"
"19",65,"MAGI1-IT1",-3.713768841,2.58e-11,2.58e-11,-3.713768841,"MAGI1-IT1","Down"
"20",66,"MIR302A",-3.74497637,2.78e-11,2.78e-11,-3.74497637,"MIR302A","Down"
"21",67,"FBXO47",-3.909125599,3.07e-11,3.07e-11,-3.909125599,"FBXO47","Down"
"22",68,"MIR99AHG",3.444155541,3.27e-11,3.27e-11,3.444155541,"MIR99AHG","Up"
"23",72,"PPFIA2",3.469008279,3.99e-11,3.99e-11,3.469008279,"PPFIA2","Up"
"24",74,"ZNF138",3.378205641,4.41e-11,4.41e-11,3.378205641,"ZNF138","Up"
"25",93,"MIR302C",-3.648119049,6.02e-11,6.02e-11,-3.648119049,"MIR302C","Down"
"26",94,"VRTN",-3.61081783,6.15e-11,6.15e-11,-3.61081783,"VRTN","Down"
"27",95,"SNAR-A9",-4.975649006,8.05e-11,8.05e-11,-4.975649006,"SNAR-A9","Down"
"28",96,"SNAR-A14",-4.975649006,8.05e-11,8.05e-11,-4.975649006,"SNAR-A14","Down"
"29",97,"SNAR-A5",-4.975649006,8.05e-11,8.05e-11,-4.975649006,"SNAR-A5","Down"
"30",98,"SNAR-A6",-4.975649006,8.05e-11,8.05e-11,-4.975649006,"SNAR-A6","Down"
"31",99,"SNAR-A8",-4.975649006,8.05e-11,8.05e-11,-4.975649006,"SNAR-A8","Down"
"32",100,"SNAR-A10",-4.975649006,8.05e-11,8.05e-11,-4.975649006,"SNAR-A10","Down"
"33",101,"SNAR-A4",-4.975649006,8.05e-11,8.05e-11,-4.975649006,"SNAR-A4","Down"
"34",102,"SNAR-A7",-4.975649006,8.05e-11,8.05e-11,-4.975649006,"SNAR-A7","Down"
"35",103,"SNAR-A11",-4.975649006,8.05e-11,8.05e-11,-4.975649006,"SNAR-A11","Down"
"36",104,"SNAR-A3",-4.975649006,8.05e-11,8.05e-11,-4.975649006,"SNAR-A3","Down"
"37",105,"KIF21A",3.27645478,8.33e-11,8.33e-11,3.27645478,"KIF21A","Up"
"38",109,"FAM104B",3.337392531,1.08e-10,1.08e-10,3.337392531,"FAM104B","Up"
"39",114,"FNDC7",-3.552472781,1.18e-10,1.18e-10,-3.552472781,"FNDC7","Down"
"40",116,"DCT",3.342959379,1.28e-10,1.28e-10,3.342959379,"DCT","Up"
"41",118,"MIR205HG",-3.387321362,1.46e-10,1.46e-10,-3.387321362,"MIR205HG","Down"
"42",123,"HORMAD2-AS1",-3.641495842,1.57e-10,1.57e-10,-3.641495842,"HORMAD2-AS1","Down"
"43",125,"ZNF107",3.274960746,1.97e-10,1.97e-10,3.274960746,"ZNF107","Up"
"44",129,"SH2D3A",-3.383776764,2.19e-10,2.19e-10,-3.383776764,"SH2D3A","Down"
"45",131,"SMIM24",-3.359292998,2.34e-10,2.34e-10,-3.359292998,"SMIM24","Down"
"46",134,"MKRN3",3.465023791,2.89e-10,2.89e-10,3.465023791,"MKRN3","Up"
"47",135,"CD209",-4.038277171,2.97e-10,2.97e-10,-4.038277171,"CD209","Down"
"48",143,"LRRC27",-3.486719107,3.18e-10,3.18e-10,-3.486719107,"LRRC27","Down"
"49",144,"HORMAD2",-3.533655837,3.42e-10,3.42e-10,-3.533655837,"HORMAD2","Down"
"50",147,"SNORA36C",-3.546577306,4.24e-10,4.24e-10,-3.546577306,"SNORA36C","Down"
"51",148,"SLC52A3",-3.584571513,4.28e-10,4.28e-10,-3.584571513,"SLC52A3","Down"
"52",150,"LOC101928834",3.343691565,4.63e-10,4.63e-10,3.343691565,"LOC101928834","Up"
"53",151,"SNAP91",3.106104315,5.31e-10,5.31e-10,3.106104315,"SNAP91","Up"
"54",155,"DLGAP1",3.121883862,5.39e-10,5.39e-10,3.121883862,"DLGAP1","Up"
"55",158,"LOC105377879",3.103233493,5.53e-10,5.53e-10,3.103233493,"LOC105377879","Up"
"56",161,"MIR4704",3.279217275,6.04e-10,6.04e-10,3.279217275,"MIR4704","Up"
"57",162,"LRRK2",3.138136143,6.34e-10,6.34e-10,3.138136143,"LRRK2","Up"
"58",163,"TRIML2",-3.331426135,6.42e-10,6.42e-10,-3.331426135,"TRIML2","Down"
"59",164,"NUDT10",3.191747714,6.46e-10,6.46e-10,3.191747714,"NUDT10","Up"
"60",165,"N6AMT1",3.108027362,7.38e-10,7.38e-10,3.108027362,"N6AMT1","Up"
"61",169,"LAMB3",-3.295911001,8.48e-10,8.48e-10,-3.295911001,"LAMB3","Down"
"62",170,"MIR205",-3.267106323,9.1e-10,9.1e-10,-3.267106323,"MIR205","Down"
"63",174,"DPP9-AS1",-3.218541669,1.09e-09,1.09e-09,-3.218541669,"DPP9-AS1","Down"
"64",175,"KLK8",-3.283664331,1.19e-09,1.19e-09,-3.283664331,"KLK8","Down"
"65",179,"LARP1",-3.225241555,1.43e-09,1.43e-09,-3.225241555,"LARP1","Down"
"66",181,"SLC22A20P",-3.242312452,1.49e-09,1.49e-09,-3.242312452,"SLC22A20P","Down"
"67",182,"GRB7",-3.18774361,1.5e-09,1.5e-09,-3.18774361,"GRB7","Down"
"68",183,"TMEM125",-3.255974147,1.63e-09,1.63e-09,-3.255974147,"TMEM125","Down"
"69",187,"C21orf91",3.009529928,1.84e-09,1.84e-09,3.009529928,"C21orf91","Up"
"70",190,"ZXDA",3.271338743,1.91e-09,1.91e-09,3.271338743,"ZXDA","Up"
"71",191,"RIPOR2",-3.317330953,2.02e-09,2.02e-09,-3.317330953,"RIPOR2","Down"
"72",192,"ZNF92",3.026827015,2.13e-09,2.13e-09,3.026827015,"ZNF92","Up"
"73",197,"RCAN2",3.035309074,2.51e-09,2.51e-09,3.035309074,"RCAN2","Up"
"74",198,"RGR",3.072988097,2.53e-09,2.53e-09,3.072988097,"RGR","Up"
"75",201,"C11orf52",-3.191013321,3.24e-09,3.24e-09,-3.191013321,"C11orf52","Down"
"76",202,"LINC00667",2.972203764,3.3e-09,3.3e-09,2.972203764,"LINC00667","Up"
"77",203,"LINC00526",2.971447472,3.35e-09,3.35e-09,2.971447472,"LINC00526","Up"
"78",204,"GOLGA6L5P",-4.613634332,3.36e-09,3.36e-09,-4.613634332,"GOLGA6L5P","Down"
"79",205,"EYS",3.027145783,3.39e-09,3.39e-09,3.027145783,"EYS","Up"
"80",208,"LOC105369728",2.96155094,3.42e-09,3.42e-09,2.96155094,"LOC105369728","Up"
"81",209,"TUBGCP5",3.001542477,3.53e-09,3.53e-09,3.001542477,"TUBGCP5","Up"
"82",212,"LOC374443",2.956928888,3.66e-09,3.66e-09,2.956928888,"LOC374443","Up"
"83",217,"RNU5F-1",-3.429979068,3.68e-09,3.68e-09,-3.429979068,"RNU5F-1","Down"
"84",219,"BFSP1",-3.256209673,3.9e-09,3.9e-09,-3.256209673,"BFSP1","Down"
"85",222,"IL17C",-3.122252922,3.95e-09,3.95e-09,-3.122252922,"IL17C","Down"
"86",223,"POU5F1",-3.135773679,4.03e-09,4.03e-09,-3.135773679,"POU5F1","Down"
"87",232,"CDH1",-3.114602671,4.38e-09,4.38e-09,-3.114602671,"CDH1","Down"
"88",236,"SPIN4",2.950344065,4.57e-09,4.57e-09,2.950344065,"SPIN4","Up"
