,Gene Name,D0 vs. D45 Log2 Fold Change,D0 vs. D45 p-value
0,RBM11,4.785752704,2.11e-18
6,NDST4,4.072664478,2.05e-14
7,TDGF1,-4.589711664,6.05e-14
8,HSPA13,3.845534718,1.16e-13
9,USP25,3.793353286,2.39e-13
14,MIR367,-4.032723834,6.42e-13
15,C1orf116,-3.96808474,6.68e-13
17,UGT2B4,3.8563612,1.09e-12
19,MIR302D,-3.984281123,1.83e-12
20,MIR125B2,3.738595883,1.97e-12
21,MIR302CHG,-4.03539892,2.05e-12
22,ZFP42,-3.809005171,2.16e-12
24,MIR3674,-3.995830839,2.64e-12
25,C3,-3.918569335,3.49e-12
26,ESRG,-4.831488921,4.05e-12
27,LINC01405,-3.835334278,7.05e-12
28,SPIDR,3.463800647,1.31e-11
64,MIR302B,-3.748287629,1.76e-11
65,MAGI1-IT1,-3.713768841,2.58e-11
66,MIR302A,-3.74497637,2.78e-11
67,FBXO47,-3.909125599,3.07e-11
68,MIR99AHG,3.444155541,3.27e-11
72,PPFIA2,3.469008279,3.99e-11
74,ZNF138,3.378205641,4.41e-11
93,MIR302C,-3.648119049,6.02e-11
94,VRTN,-3.61081783,6.15e-11
95,SNAR-A9,-4.975649006,8.05e-11
96,SNAR-A14,-4.975649006,8.05e-11
97,SNAR-A5,-4.975649006,8.05e-11
98,SNAR-A6,-4.975649006,8.05e-11
99,SNAR-A8,-4.975649006,8.05e-11
100,SNAR-A10,-4.975649006,8.05e-11
101,SNAR-A4,-4.975649006,8.05e-11
102,SNAR-A7,-4.975649006,8.05e-11
103,SNAR-A11,-4.975649006,8.05e-11
104,SNAR-A3,-4.975649006,8.05e-11
105,KIF21A,3.27645478,8.33e-11
109,FAM104B,3.337392531,1.08e-10
114,FNDC7,-3.552472781,1.18e-10
116,DCT,3.342959379,1.28e-10
118,MIR205HG,-3.387321362,1.46e-10
123,HORMAD2-AS1,-3.641495842,1.57e-10
125,ZNF107,3.274960746,1.97e-10
129,SH2D3A,-3.383776764,2.19e-10
131,SMIM24,-3.359292998,2.34e-10
134,MKRN3,3.465023791,2.89e-10
135,CD209,-4.038277171,2.97e-10
143,LRRC27,-3.486719107,3.18e-10
144,HORMAD2,-3.533655837,3.42e-10
147,SNORA36C,-3.546577306,4.24e-10
148,SLC52A3,-3.584571513,4.28e-10
150,LOC101928834,3.343691565,4.63e-10
151,SNAP91,3.106104315,5.31e-10
155,DLGAP1,3.121883862,5.39e-10
158,LOC105377879,3.103233493,5.53e-10
161,MIR4704,3.279217275,6.04e-10
162,LRRK2,3.138136143,6.34e-10
163,TRIML2,-3.331426135,6.42e-10
164,NUDT10,3.191747714,6.46e-10
165,N6AMT1,3.108027362,7.38e-10
169,LAMB3,-3.295911001,8.48e-10
170,MIR205,-3.267106323,9.1e-10
174,DPP9-AS1,-3.218541669,1.09e-09
175,KLK8,-3.283664331,1.19e-09
179,LARP1,-3.225241555,1.43e-09
181,SLC22A20P,-3.242312452,1.49e-09
182,GRB7,-3.18774361,1.5e-09
183,TMEM125,-3.255974147,1.63e-09
187,C21orf91,3.009529928,1.84e-09
190,ZXDA,3.271338743,1.91e-09
191,RIPOR2,-3.317330953,2.02e-09
192,ZNF92,3.026827015,2.13e-09
197,RCAN2,3.035309074,2.51e-09
198,RGR,3.072988097,2.53e-09
201,C11orf52,-3.191013321,3.24e-09
202,LINC00667,2.972203764,3.3e-09
203,LINC00526,2.971447472,3.35e-09
204,GOLGA6L5P,-4.613634332,3.36e-09
205,EYS,3.027145783,3.39e-09
208,LOC105369728,2.96155094,3.42e-09
209,TUBGCP5,3.001542477,3.53e-09
212,LOC374443,2.956928888,3.66e-09
217,RNU5F-1,-3.429979068,3.68e-09
219,BFSP1,-3.256209673,3.9e-09
222,IL17C,-3.122252922,3.95e-09
223,POU5F1,-3.135773679,4.03e-09
232,CDH1,-3.114602671,4.38e-09
236,SPIN4,2.950344065,4.57e-09
238,COLEC11,-3.309312336,5.21e-09
242,ZNF365,2.920461688,5.53e-09
243,GNA12,-3.274400206,5.64e-09
244,ZNF519,2.982211979,5.96e-09
