"","X","Gene.Name","D0.vs..D25.Log2.Fold.Change","D0.vs..D25.p.value","pval","log2fc","labels","sig"
"1",46810,"LOC101927050",6.674906938,0.001777858,0.001777858,6.674906938,"LOC101927050","Up"
"2",5156,"FAM27E3",5.769865717,0.024579316,0.024579316,5.769865717,"FAM27E3","Up"
"3",46356,"FCGR1CP",5.769865717,0.024579316,0.024579316,5.769865717,"FCGR1CP","Up"
"4",71537,"FAM30C",5.769865717,0.024579316,0.024579316,5.769865717,"FAM30C","Up"
"5",30098,"LOC101929572",5.603242015,0.043486481,0.043486481,5.603242015,"LOC101929572","Up"
"6",46539,"POTEH-AS1",5.603242015,0.043486481,0.043486481,5.603242015,"POTEH-AS1","Up"
"7",4858,"MIR6511A1",5.414830395,0.078275666,0.078275666,5.414830395,"MIR6511A1","Up"
"8",11471,"MIR4509-2",5.414830395,0.078275666,0.078275666,5.414830395,"MIR4509-2","Up"
"9",21892,"LOC100996740",5.414830395,0.078275666,0.078275666,5.414830395,"LOC100996740","Up"
"10",22624,"MIR6511A3",5.414830395,0.078275666,0.078275666,5.414830395,"MIR6511A3","Up"
"11",25144,"LOC105379807",5.414830395,0.078275666,0.078275666,5.414830395,"LOC105379807","Up"
"12",29183,"MIR4509-1",5.414830395,0.078275666,0.078275666,5.414830395,"MIR4509-1","Up"
"13",42545,"NBEAP1",5.414830395,0.078275666,0.078275666,5.414830395,"NBEAP1","Up"
"14",49202,"SPATA31A3",5.414830395,0.078275666,0.078275666,5.414830395,"SPATA31A3","Up"
"15",69761,"POTEM",5.414830395,0.078275666,0.078275666,5.414830395,"POTEM","Up"
"16",1073,"POTEB2",5.198063329,0.143505389,0.143505389,5.198063329,"POTEB2","Not Sig"
"17",2190,"BMS1P17",5.198063329,0.143505389,0.143505389,5.198063329,"BMS1P17","Not Sig"
"18",19749,"POTEB",5.198063329,0.143505389,0.143505389,5.198063329,"POTEB","Not Sig"
"19",23346,"BMS1P1",4.942867751,0.143505389,0.143505389,4.942867751,"BMS1P1","Not Sig"
"20",63164,"FAM66D",4.942867751,0.143505389,0.143505389,4.942867751,"FAM66D","Not Sig"
"21",4291,"MIR3179-1",4.632618613,0.268292683,0.268292683,4.632618613,"MIR3179-1","Not Sig"
"22",6741,"MAGEA9B",4.632618613,0.268292683,0.268292683,4.632618613,"MAGEA9B","Not Sig"
"23",7138,"TIMM23B",4.632618613,0.268292683,0.268292683,4.632618613,"TIMM23B","Not Sig"
"24",7437,"PARGP1",4.632618613,0.268292683,0.268292683,4.632618613,"PARGP1","Not Sig"
"25",13127,"TIMM23B-AGAP6",4.632618613,0.268292683,0.268292683,4.632618613,"TIMM23B-AGAP6","Not Sig"
"26",14394,"PARGP1-AGAP4",4.632618613,0.268292683,0.268292683,4.632618613,"PARGP1-AGAP4","Not Sig"
"27",16611,"PARG",4.632618613,0.268292683,0.268292683,4.632618613,"PARG","Not Sig"
"28",23750,"CXorf49",4.632618613,0.268292683,0.268292683,4.632618613,"CXorf49","Not Sig"
"29",30413,"CXorf49B",4.632618613,0.268292683,0.268292683,4.632618613,"CXorf49B","Not Sig"
"30",36005,"DEFB109B",4.632618613,0.268292683,0.268292683,4.632618613,"DEFB109B","Not Sig"
"31",44298,"GOLGA8CP",4.632618613,0.268292683,0.268292683,4.632618613,"GOLGA8CP","Not Sig"
"32",58747,"NPIPB3",4.632618613,0.268292683,0.268292683,4.632618613,"NPIPB3","Not Sig"
"33",61174,"GOLGA8S",4.632618613,0.268292683,0.268292683,4.632618613,"GOLGA8S","Not Sig"
"34",62410,"MAGEA3",4.632618613,0.268292683,0.268292683,4.632618613,"MAGEA3","Not Sig"
"35",1819,"FAM85A",4.236838369,0.512195122,0.512195122,4.236838369,"FAM85A","Not Sig"
"36",2698,"PPIAL4D",4.236838369,0.512195122,0.512195122,4.236838369,"PPIAL4D","Not Sig"
"37",5489,"RPS17",4.236838369,0.512195122,0.512195122,4.236838369,"RPS17","Not Sig"
"38",7970,"CCL3L1",4.236838369,0.512195122,0.512195122,4.236838369,"CCL3L1","Not Sig"
"39",8211,"PPIAL4E",4.236838369,0.512195122,0.512195122,4.236838369,"PPIAL4E","Not Sig"
"40",8505,"CCL3L3",4.236838369,0.512195122,0.512195122,4.236838369,"CCL3L3","Not Sig"
"41",11119,"FAM236C",4.236838369,0.512195122,0.512195122,4.236838369,"FAM236C","Not Sig"
"42",11808,"GAGE2E",4.236838369,0.512195122,0.512195122,4.236838369,"GAGE2E","Not Sig"
"43",15296,"LOC100132202",4.236838369,0.512195122,0.512195122,4.236838369,"LOC100132202","Not Sig"
"44",23224,"PPIAL4F",4.236838369,0.512195122,0.512195122,4.236838369,"PPIAL4F","Not Sig"
"45",26794,"CBWD3",4.236838369,0.512195122,0.512195122,4.236838369,"CBWD3","Not Sig"
"46",27288,"LOC286297",4.236838369,0.512195122,0.512195122,4.236838369,"LOC286297","Not Sig"
"47",34963,"DEFB4A",4.236838369,0.512195122,0.512195122,4.236838369,"DEFB4A","Not Sig"
"48",39390,"AQP7P3",4.236838369,0.512195122,0.512195122,4.236838369,"AQP7P3","Not Sig"
"49",39546,"DEFT1P2",4.236838369,0.512195122,0.512195122,4.236838369,"DEFT1P2","Not Sig"
"50",40867,"LINC02297",4.236838369,0.512195122,0.512195122,4.236838369,"LINC02297","Not Sig"
"51",43534,"LOC642929",4.236838369,0.512195122,0.512195122,4.236838369,"LOC642929","Not Sig"
"52",58077,"SNORA11E",4.236838369,0.512195122,0.512195122,4.236838369,"SNORA11E","Not Sig"
"53",58864,"GAGE2C",4.236838369,0.512195122,0.512195122,4.236838369,"GAGE2C","Not Sig"
"54",61663,"MIR511",4.236838369,0.512195122,0.512195122,4.236838369,"MIR511","Not Sig"
"55",63664,"DEFT1P",4.236838369,0.512195122,0.512195122,4.236838369,"DEFT1P","Not Sig"
"56",64339,"MIR6862-1",4.236838369,0.512195122,0.512195122,4.236838369,"MIR6862-1","Not Sig"
"57",65868,"MIR6862-2",4.236838369,0.512195122,0.512195122,4.236838369,"MIR6862-2","Not Sig"
"58",62182,"MIR3118-1",3.765868677,0.000780248,0.000780248,3.765868677,"MIR3118-1","Up"
"59",183,"LINC01123",3.689635978,1,1,3.689635978,"LINC01123","Not Sig"
"60",506,"SNORA74C-1",3.689635978,1,1,3.689635978,"SNORA74C-1","Not Sig"
"61",1604,"MAGEA2",3.689635978,1,1,3.689635978,"MAGEA2","Not Sig"
"62",3966,"MAGEA2B",3.689635978,1,1,3.689635978,"MAGEA2B","Not Sig"
"63",4465,"SNAR-A10",3.689635978,1,1,3.689635978,"SNAR-A10","Not Sig"
"64",4692,"GAGE12E",3.689635978,1,1,3.689635978,"GAGE12E","Not Sig"
"65",5183,"SNAR-A4",3.689635978,1,1,3.689635978,"SNAR-A4","Not Sig"
"66",5404,"GAGE12C",3.689635978,1,1,3.689635978,"GAGE12C","Not Sig"
"67",6011,"SCX",3.689635978,1,1,3.689635978,"SCX","Not Sig"
"68",7737,"FCGR2B",3.689635978,1,1,3.689635978,"FCGR2B","Not Sig"
"69",9937,"MTLN",3.689635978,1,1,3.689635978,"MTLN","Not Sig"
"70",10333,"LINC00279",3.689635978,1,1,3.689635978,"LINC00279","Not Sig"
"71",14943,"CXorf51A",3.689635978,1,1,3.689635978,"CXorf51A","Not Sig"
"72",16960,"MIR6770-2",3.689635978,1,1,3.689635978,"MIR6770-2","Not Sig"
"73",21973,"MIR6770-1",3.689635978,1,1,3.689635978,"MIR6770-1","Not Sig"
"74",27682,"CXorf51B",3.689635978,1,1,3.689635978,"CXorf51B","Not Sig"
"75",31009,"LCE3B",3.689635978,1,1,3.689635978,"LCE3B","Not Sig"
"76",32617,"NXF2B",3.689635978,1,1,3.689635978,"NXF2B","Not Sig"
"77",41063,"GOLGA2P2Y",3.689635978,1,1,3.689635978,"GOLGA2P2Y","Not Sig"
"78",45361,"NXF2",3.689635978,1,1,3.689635978,"NXF2","Not Sig"
"79",46198,"SNORA11D",3.689635978,1,1,3.689635978,"SNORA11D","Not Sig"
"80",47030,"GOLGA2P3Y",3.689635978,1,1,3.689635978,"GOLGA2P3Y","Not Sig"
"81",48546,"INTS4P2",3.689635978,1,1,3.689635978,"INTS4P2","Not Sig"
"82",49521,"GGT2",3.689635978,1,1,3.689635978,"GGT2","Not Sig"
"83",50551,"DEFB109A",3.689635978,1,1,3.689635978,"DEFB109A","Not Sig"
"84",56654,"SULT1A3",3.689635978,1,1,3.689635978,"SULT1A3","Not Sig"
"85",57978,"TGIF2LY",3.689635978,1,1,3.689635978,"TGIF2LY","Not Sig"
"86",58068,"LOC100101478",3.689635978,1,1,3.689635978,"LOC100101478","Not Sig"
"87",62984,"MRC1",3.689635978,1,1,3.689635978,"MRC1","Not Sig"
"88",64565,"MIR1270",3.689635978,1,1,3.689635978,"MIR1270","Not Sig"
"89",74682,"TBC1D3J",3.689635978,1,1,3.689635978,"TBC1D3J","Not Sig"
"90",45541,"ACTR3BP2",3.504440432,0.003211294,0.003211294,3.504440432,"ACTR3BP2","Up"
"91",15848,"GAGE4",3.435457062,0.000269237,0.000269237,3.435457062,"GAGE4","Up"
"92",26857,"GAGE12I",3.435457062,0.000269237,0.000269237,3.435457062,"GAGE12I","Up"
"93",35905,"GAGE2B",3.435457062,0.000269237,0.000269237,3.435457062,"GAGE2B","Up"
"94",51854,"GAGE5",3.435457062,0.000269237,0.000269237,3.435457062,"GAGE5","Up"
"95",51938,"GAGE7",3.435457062,0.000269237,0.000269237,3.435457062,"GAGE7","Up"
"96",14590,"POTEH",3.384983486,0.004632641,0.004632641,3.384983486,"POTEH","Up"
"97",65251,"LINC01193",3.366824974,6.27e-05,6.27e-05,3.366824974,"LINC01193","Up"
"98",39493,"MIR5701-2",3.344515281,7.77e-05,7.77e-05,3.344515281,"MIR5701-2","Up"
"99",71015,"OR4A5",3.251657702,0.000149748,0.000149748,3.251657702,"OR4A5","Up"
"100",38650,"DUXAP8",3.184918231,0.009786966,0.009786966,3.184918231,"DUXAP8","Up"
"101",11457,"BMS1P18",3.111550113,0.014328375,0.014328375,3.111550113,"BMS1P18","Up"
"102",27472,"SHLD2P3",2.952572497,0.031116393,0.031116393,2.952572497,"SHLD2P3","Up"
"103",40580,"MKRN3",2.877662774,1.2e-07,1.2e-07,2.877662774,"MKRN3","Up"
"104",58875,"ZNF722P",2.846733343,1.52e-05,1.52e-05,2.846733343,"ZNF722P","Up"
"105",18855,"ANKRD30A",2.797476894,4.86e-06,4.86e-06,2.797476894,"ANKRD30A","Up"
"106",142,"MIR3670-2",2.797325567,1,1,2.797325567,"MIR3670-2","Not Sig"
