,Gene Name,D0 vs. D25 Log2 Fold Change,D0 vs. D25 p-value
46810,LOC101927050,6.674906938,0.001777858
5156,FAM27E3,5.769865717,0.024579316
46356,FCGR1CP,5.769865717,0.024579316
71537,FAM30C,5.769865717,0.024579316
30098,LOC101929572,5.603242015,0.043486481
46539,POTEH-AS1,5.603242015,0.043486481
4858,MIR6511A1,5.414830395,0.078275666
11471,MIR4509-2,5.414830395,0.078275666
21892,LOC100996740,5.414830395,0.078275666
22624,MIR6511A3,5.414830395,0.078275666
25144,LOC105379807,5.414830395,0.078275666
29183,MIR4509-1,5.414830395,0.078275666
42545,NBEAP1,5.414830395,0.078275666
49202,SPATA31A3,5.414830395,0.078275666
69761,POTEM,5.414830395,0.078275666
1073,POTEB2,5.198063329,0.143505389
2190,BMS1P17,5.198063329,0.143505389
19749,POTEB,5.198063329,0.143505389
23346,BMS1P1,4.942867751,0.143505389
63164,FAM66D,4.942867751,0.143505389
4291,MIR3179-1,4.632618613,0.268292683
6741,MAGEA9B,4.632618613,0.268292683
7138,TIMM23B,4.632618613,0.268292683
7437,PARGP1,4.632618613,0.268292683
13127,TIMM23B-AGAP6,4.632618613,0.268292683
14394,PARGP1-AGAP4,4.632618613,0.268292683
16611,PARG,4.632618613,0.268292683
23750,CXorf49,4.632618613,0.268292683
30413,CXorf49B,4.632618613,0.268292683
36005,DEFB109B,4.632618613,0.268292683
44298,GOLGA8CP,4.632618613,0.268292683
58747,NPIPB3,4.632618613,0.268292683
61174,GOLGA8S,4.632618613,0.268292683
62410,MAGEA3,4.632618613,0.268292683
1819,FAM85A,4.236838369,0.512195122
2698,PPIAL4D,4.236838369,0.512195122
5489,RPS17,4.236838369,0.512195122
7970,CCL3L1,4.236838369,0.512195122
8211,PPIAL4E,4.236838369,0.512195122
8505,CCL3L3,4.236838369,0.512195122
11119,FAM236C,4.236838369,0.512195122
11808,GAGE2E,4.236838369,0.512195122
15296,LOC100132202,4.236838369,0.512195122
23224,PPIAL4F,4.236838369,0.512195122
26794,CBWD3,4.236838369,0.512195122
27288,LOC286297,4.236838369,0.512195122
34963,DEFB4A,4.236838369,0.512195122
39390,AQP7P3,4.236838369,0.512195122
39546,DEFT1P2,4.236838369,0.512195122
40867,LINC02297,4.236838369,0.512195122
43534,LOC642929,4.236838369,0.512195122
58077,SNORA11E,4.236838369,0.512195122
58864,GAGE2C,4.236838369,0.512195122
61663,MIR511,4.236838369,0.512195122
